library,dependency,type
activemq:activemq-core:3.2,activecluster:activecluster:1.1-20050524.034300,Runtime
activemq:activemq-core:3.2,org.apache.derby:derby:10.1.1.0,Runtime
activemq:activemq-core:3.2,commons-primitives:commons-primitives:1.0,Runtime
activemq:activemq-core:3.2,regexp:regexp:1.3,Runtime
activemq:activemq-core:3.2,commons-dbcp:commons-dbcp:1.2,Runtime
activemq:activemq-core:3.2,commons-pool:commons-pool:1.2,Runtime
activemq:activemq-core:3.2,activeio:activeio:1.1,Runtime
activemq:activemq-core:3.2,concurrent:concurrent:1.3.4,Runtime
activemq:activemq-core:3.2,org.apache.derby:derby:10.1.1.0,Compile
activemq:activemq-core:3.2,org.springframework:spring:1.2.2,Compile
activemq:activemq-core:3.2,activeio:activeio:1.1,Compile
activemq:activemq-core:3.2,hsqldb:hsqldb:1.7.2.2,Compile
activemq:activemq-core:3.2,commons-collections:commons-collections:2.1,Compile
activemq:activemq-core:3.2,concurrent:concurrent:1.3.4,Compile
activemq:activemq-core:3.2,activemq:smackx:1.5.0,Compile
activemq:activemq-core:3.2,activemq:smack:1.5.0,Compile
activemq:activemq-core:3.2,xalan:xalan:2.6.0,Compile
activemq:activemq-core:3.2,commons-dbcp:commons-dbcp:1.2,Compile
activemq:activemq-core:3.2,activesoap:jaxp-api:1.3,Compile
activemq:activemq-core:3.2,stax:stax:1.1.1-dev,Compile
activemq:activemq-core:3.2,xmlbeans:xbean_xpath:2.0.0-beta1,Compile
activemq:activemq-core:3.2,stax:stax-api:1.0,Compile
activemq:activemq-core:3.2,xmlbeans:xbean:2.0.0-beta1,Compile
activemq:activemq-core:3.2,commons-pool:commons-pool:1.2,Compile
activemq:activemq-core:3.2,howl:howl-logger:0.1.8,Compile
activemq:activemq-core:3.2,regexp:regexp:1.3,Compile
activemq:activemq-core:3.2,commons-primitives:commons-primitives:1.0,Compile
activemq:activemq-core:3.2,axion:axion:1.0-M3-dev,Compile
activemq:activemq-core:3.2,activecluster:activecluster:1.1-20050524.034300,Compile
activemq:activemq-core:3.2,jmock:jmock:1.0.1,Compile
activemq:activemq-core:3.2,jmock:jmock-cglib:1.0.1,Compile
activemq:activemq-core:3.2,cglib:cglib-full:2.0,Compile
activemq:activemq-core:3.2,xmlbeans:xmlpublic:2.0.0-beta1,Compile
activemq:activemq-core:3.2.3,stax:stax-api:1.0,Compile
activemq:activemq-core:3.2.3,xmlbeans:xbean_xpath:2.0.0-beta1,Compile
activemq:activemq-core:3.2.3,xmlbeans:xmlpublic:2.0.0-beta1,Compile
activemq:activemq-core:3.2.3,xmlbeans:xbean:2.0.0-beta1,Compile
activemq:activemq-core:3.2.3,net.java.dev.javacc:javacc:2.1,Compile
activemq:activemq-core:3.2.3,commons-pool:commons-pool:1.2,Compile
activemq:activemq-core:3.2.3,commons-dbcp:commons-dbcp:1.2,Compile
activemq:activemq-core:3.2.3,hsqldb:hsqldb:1.7.2.2,Compile
activemq:activemq-core:3.2.3,regexp:regexp:1.3,Compile
activemq:activemq-core:3.2.3,commons-primitives:commons-primitives:1.0,Compile
activemq:activemq-core:3.2.3,axion:axion:1.0-M3-dev,Compile
activemq:activemq-core:3.2.3,stax:stax:1.1.1-dev,Compile
activemq:activemq-core:3.2.3,commons-collections:commons-collections:2.1,Compile
activemq:activemq-core:3.2.3,howl:howl-logger:0.1.8,Compile
activemq:activemq-core:3.2.3,activesoap:jaxp-api:1.3,Compile
activemq:activemq-core:3.2.3,activemq:smack:1.5.0,Compile
activemq:activemq-core:3.2.3,junit:junit:3.8.1,Compile
activemq:activemq-core:3.2.3,log4j:log4j:1.2.8,Compile
activemq:activemq-core:3.2.3,xalan:xalan:2.6.0,Compile
activemq:activemq-core:3.2.3,geronimo-spec:geronimo-spec-j2ee-management:1.0-rc4,Compile
activemq:activemq-core:3.2.3,geronimo-spec:geronimo-spec-jta:1.0.1B-rc4,Compile
activemq:activemq-core:3.2.3,geronimo-spec:geronimo-spec-jms:1.1-rc4,Compile
activemq:activemq-core:3.2.3,commons-logging:commons-logging:1.0.3,Compile
activemq:activemq-core:3.2.3,concurrent:concurrent:1.3.4,Compile
activemq:activemq-core:3.2.3,org.springframework:spring:1.2.2,Compile
activemq:activemq-core:3.2.3,activemq:smackx:1.5.0,Compile
activemq:activemq-core:3.2.3,activeio:activeio:1.1,Compile
activemq:activemq-core:3.2.3,activecluster:activecluster:1.1-SNAPSHOT,Compile
activemq:activemq-core:3.2.3,jmock:jmock:1.0.1,Compile
activemq:activemq-core:3.2.3,jmock:jmock-cglib:1.0.1,Compile
activemq:activemq-core:3.2.3,geronimo-spec:geronimo-spec-j2ee-jacc:1.0-rc4,Compile
activemq:activemq-core:3.2.3,incubator-derby:derby:10.0.2.1,Compile
activemq:activemq-core:3.2.3,cglib:cglib-full:2.0,Compile
activemq:activemq-core:3.2.4,net.java.dev.javacc:javacc:2.1,Compile
activemq:activemq-core:3.2.4,commons-collections:commons-collections:2.1,Compile
activemq:activemq-core:3.2.4,axion:axion:1.0-M3-dev,Compile
activemq:activemq-core:3.2.4,commons-primitives:commons-primitives:1.0,Compile
activemq:activemq-core:3.2.4,activesoap:jaxp-api:1.3,Compile
activemq:activemq-core:3.2.4,regexp:regexp:1.3,Compile
activemq:activemq-core:3.2.4,activemq:smack:1.5.0,Compile
activemq:activemq-core:3.2.4,xalan:xalan:2.6.0,Compile
activemq:activemq-core:3.2.4,commons-dbcp:commons-dbcp:1.2,Compile
activemq:activemq-core:3.2.4,commons-pool:commons-pool:1.2,Compile
activemq:activemq-core:3.2.4,stax:stax:1.1.1-dev,Compile
activemq:activemq-core:3.2.4,xmlbeans:xbean:2.0.0-beta1,Compile
activemq:activemq-core:3.2.4,xmlbeans:xmlpublic:2.0.0-beta1,Compile
activemq:activemq-core:3.2.4,stax:stax-api:1.0,Compile
activemq:activemq-core:3.2.4,xmlbeans:xbean_xpath:2.0.0-beta1,Compile
activemq:activemq-core:3.2.4,hsqldb:hsqldb:1.7.2.2,Compile
activemq:activemq-core:3.2.4,howl:howl-logger:0.1.8,Compile
activemq:activemq-core:3.2.4,commons-logging:commons-logging:1.0.3,Compile
activemq:activemq-core:3.2.4,jmock:jmock:1.0.1,Compile
activemq:activemq-core:3.2.4,activemq:smackx:1.5.0,Compile
activemq:activemq-core:3.2.4,jmock:jmock-cglib:1.0.1,Compile
activemq:activemq-core:3.2.4,cglib:cglib-full:2.0,Compile
activemq:activemq-core:3.2.4,org.apache.derby:derby:10.1.1.0,Compile
activemq:activemq-core:3.2.4,activecluster:activecluster:1.1-SNAPSHOT,Compile
activemq:activemq-core:3.2.4,org.springframework:spring:1.2.2,Compile
activemq:activemq-core:3.2.4,activeio:activeio:1.1,Compile
activemq:activemq-core:3.2.4,log4j:log4j:1.2.8,Compile
activemq:activemq-core:3.2.4,concurrent:concurrent:1.3.4,Compile
activemq:activemq-core:3.2.4,org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec:1.0,Compile
activemq:activemq-core:3.2.4,org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec:1.0,Compile
activemq:activemq-core:3.2.4,org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec:1.0,Compile
activemq:activemq-core:3.2.4,junit:junit:3.8.1,Compile
activemq:activemq-core:3.2.4,org.apache.geronimo.specs:geronimo-jms_1.1_spec:1.0,Compile
activemq:activemq-optional:3.2.3,geronimo-spec:geronimo-spec-jta:1.0.1B-rc4,Compile
activemq:activemq-optional:3.2.3,activemq:activemq-core:3.2.3,Compile
activemq:activemq-optional:3.2.3,jrms:jrms:1.1,Compile
activemq:activemq-optional:3.2.3,xmlpull:xmlpull:1.1.3.4d_b4_min,Compile
activemq:activemq-optional:3.2.3,jetty:org.mortbay.jetty:5.1.10,Compile
activemq:activemq-optional:3.2.3,commons-httpclient:commons-httpclient:2.0.1,Compile
activemq:activemq-optional:3.2.3,jotm:jotm-jrmp-stubs:1.5.3,Compile
activemq:activemq-optional:3.2.3,aopalliance:aopalliance:1.0,Compile
activemq:activemq-optional:3.2.3,activeio:activeio:1.1,Compile
activemq:activemq-optional:3.2.3,jotm:jotm-carol:1.5.3,Compile
activemq:activemq-optional:3.2.3,jotm:jotm:1.5.3,Compile
activemq:activemq-optional:3.2.3,geronimo:geronimo-kernel:1.0-SNAPSHOT,Compile
activemq:activemq-optional:3.2.3,axis:axis:1.2-RC1,Compile
activemq:activemq-optional:3.2.3,geronimo-spec:geronimo-spec-j2ee-connector:1.5-rc4,Compile
activemq:activemq-optional:3.2.3,commons-collections:commons-collections:2.1,Compile
activemq:activemq-optional:3.2.3,commons-pool:commons-pool:1.2,Compile
activemq:activemq-optional:3.2.3,geronimo-spec:geronimo-spec-jms:1.1-rc4,Compile
activemq:activemq-optional:3.2.3,xstream:xstream:1.1.2,Compile
activemq:activemq-optional:3.2.3,jmdns:jmdns:0.2,Compile
activemq:activemq-optional:3.2.3,activemq:activemq-core-test:3.2.3,Compile
activemq:activemq-optional:3.2.3,activecluster:activecluster:1.1-SNAPSHOT,Compile
activemq:activemq-optional:3.2.3,commons-logging:commons-logging:1.0.3,Compile
activemq:activemq-optional:3.2.3,junit:junit:3.8.1,Compile
activemq:activemq-optional:3.2.3,log4j:log4j:1.2.8,Compile
activemq:activemq-optional:3.2.3,concurrent:concurrent:1.3.4,Compile
activemq:activemq-optional:3.2.3,geronimo-spec:geronimo-spec-j2ee-jacc:1.0-rc4,Compile
activemq:activemq-optional:3.2.3,geronimo-spec:geronimo-spec-j2ee-management:1.0-rc4,Compile
activemq:activemq-optional:3.2.3,geronimo-spec:geronimo-spec-servlet:2.4-rc4,Compile
activemq:activemq-optional:3.2.3,org.springframework:spring:1.2.2,Compile
activemq:activemq-optional:3.2.3,jgroups:jgroups:2.2.5,Compile
activemq:activemq-optional:3.2.3,geronimo:geronimo-system:1.0-SNAPSHOT,Compile
activemq:activemq-optional:3.2.4,org.apache.geronimo.specs:geronimo-jms_1.1_spec:1.0,Compile
activemq:activemq-optional:3.2.4,jgroups:jgroups:2.2.5,Compile
activemq:activemq-optional:3.2.4,org.apache.geronimo.specs:geronimo-servlet_2.4_spec:1.0,Compile
activemq:activemq-optional:3.2.4,geronimo:geronimo-kernel:1.0,Compile
activemq:activemq-optional:3.2.4,activemq:activemq-core:3.2.4,Compile
activemq:activemq-optional:3.2.4,geronimo:geronimo-system:1.0,Compile
activemq:activemq-optional:3.2.4,activeio:activeio:1.1,Compile
activemq:activemq-optional:3.2.4,org.apache.geronimo.specs:geronimo-j2ee-connector_1.5_spec:1.0,Compile
activemq:activemq-optional:3.2.4,jotm:jotm:1.5.3,Compile
activemq:activemq-optional:3.2.4,jotm:jotm-carol:1.5.3,Compile
activemq:activemq-optional:3.2.4,jotm:jotm-jrmp-stubs:1.5.3,Compile
activemq:activemq-optional:3.2.4,aopalliance:aopalliance:1.0,Compile
activemq:activemq-optional:3.2.4,commons-pool:commons-pool:1.2,Compile
activemq:activemq-optional:3.2.4,axis:axis:1.2-RC1,Compile
activemq:activemq-optional:3.2.4,commons-collections:commons-collections:2.1,Compile
activemq:activemq-optional:3.2.4,org.springframework:spring:1.2.2,Compile
activemq:activemq-optional:3.2.4,jetty:org.mortbay.jetty:5.1.10,Compile
activemq:activemq-optional:3.2.4,org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec:1.0,Compile
activemq:activemq-optional:3.2.4,org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec:1.0,Compile
activemq:activemq-optional:3.2.4,commons-httpclient:commons-httpclient:2.0.1,Compile
activemq:activemq-optional:3.2.4,concurrent:concurrent:1.3.4,Compile
activemq:activemq-optional:3.2.4,log4j:log4j:1.2.8,Compile
activemq:activemq-optional:3.2.4,junit:junit:3.8.1,Compile
activemq:activemq-optional:3.2.4,activecluster:activecluster:1.1-SNAPSHOT,Compile
activemq:activemq-optional:3.2.4,org.apache.geronimo.specs:geronimo-j2ee-jacc_1.0_spec:1.0,Compile
activemq:activemq-optional:3.2.4,jmdns:jmdns:0.2,Compile
activemq:activemq-optional:3.2.4,commons-logging:commons-logging:1.0.3,Compile
activemq:activemq-optional:3.2.4,jrms:jrms:1.1,Compile
activemq:activemq-optional:3.2.4,xstream:xstream:1.1.2,Compile
activemq:activemq-optional:3.2.4,xmlpull:xmlpull:1.1.3.4d_b4_min,Compile
activemq:activemq-optional:3.2.4,activemq:activemq-core-test:3.2.4,Compile
activemq:activemq:3.2.3,geronimo-spec:geronimo-spec-j2ee-management:1.0-rc4,Compile
activemq:activemq:3.2.3,log4j:log4j:1.2.8,Compile
activemq:activemq:3.2.3,xerces:xercesImpl:2.6.2,Compile
activemq:activemq:3.2.3,geronimo-spec:geronimo-spec-jta:1.0.1B-rc4,Compile
activemq:activemq:3.2.3,geronimo-spec:geronimo-spec-jms:1.1-rc4,Compile
activemq:activemq:3.2.3,geronimo-spec:geronimo-spec-j2ee-jacc:1.0-rc4,Compile
activemq:activemq:3.2.3,concurrent:concurrent:1.3.4,Compile
activemq:activemq:3.2.3,junit:junit:3.8.1,Compile
